client_id,signup_date,country,segment,acquisition_channel,account_manager_id,company_size
CL0001,2025-12-17,Germany,Enterprise Services,Paid Partnerships,M01,Medium
CL0002,2025-12-03,Canada,SMB Tech,Paid Partnerships,M05,Small
CL0003,2025-11-01,Poland,SMB Tech,Referral,M02,Small
CL0004,2025-11-05,United States,SMB Tech,Paid Partnerships,M05,Small
CL0005,2025-02-24,United States,Enterprise Services,Organic,M02,Enterprise
CL0006,2025-12-10,United Kingdom,SMB Tech,Organic,M06,Large
CL0007,2025-01-18,France,Enterprise Services,Referral,M02,Large
CL0008,2025-06-05,France,Recruitment,Referral,M03,Enterprise
CL0009,2025-09-16,United Kingdom,Enterprise Services,Organic,M05,Enterprise
CL0010,2025-09-29,United States,SMB Tech,Paid Partnerships,M06,Small
CL0011,2025-10-26,Canada,SMB Tech,Outbound,M04,Small
CL0012,2025-10-28,UAE,Recruitment,Organic,M02,Large
CL0013,2025-12-15,United Kingdom,SMB Tech,Paid Partnerships,M01,Small
CL0014,2024-11-28,France,Gaming Studios,Outbound,M04,Small
CL0015,2024-09-12,Canada,SMB Tech,Referral,M03,Small
CL0016,2024-08-02,United Kingdom,Gaming Studios,Outbound,M04,Medium
CL0017,2025-11-04,United States,SMB Tech,Organic,M05,Small
CL0018,2025-03-28,Singapore,SMB Tech,Referral,M01,Small
CL0019,2025-01-17,Poland,Recruitment,Outbound,M03,Large
CL0020,2025-07-25,Poland,SMB Tech,Organic,M04,Small
CL0021,2025-07-10,Cyprus,Enterprise Services,Organic,M02,Enterprise
CL0022,2025-10-19,France,Recruitment,Paid Partnerships,M04,Medium
CL0023,2025-11-20,Singapore,SMB Tech,Paid Partnerships,M04,Small
CL0024,2024-01-18,Germany,SMB Tech,Referral,M03,Large
CL0025,2025-12-04,France,SMB Tech,Organic,M05,Medium
CL0026,2025-02-18,Netherlands,Recruitment,Organic,M05,Large
CL0027,2024-12-12,France,SMB Tech,Outbound,M01,Medium
CL0028,2025-09-23,Estonia,SMB Tech,Paid Partnerships,M01,Medium
CL0029,2025-07-28,UK,Recruitment,Paid Partnerships,M04,Large
CL0030,2025-09-01,Netherlands,SMB Tech,Paid Partnerships,M04,Small
CL0031,2025-11-03,Netherlands,SMB Tech,Paid Partnerships,M03,Small
CL0032,2025-03-03,United States,Enterprise Services,Organic,M01,Large
CL0033,2024-09-29,Estonia,SMB Tech,Organic,M03,Small
CL0034,2025-09-18,Cyprus,SMB Tech,Outbound,M01,Medium
CL0035,2025-10-11,Poland,SMB Tech,Referral,M01,Small
CL0036,2025-09-19,UAE,SMB Tech,Paid Partnerships,M01,Small
CL0037,2025-03-20,Netherlands,SMB Tech,Referral,M03,Small
CL0038,2025-11-15,Netherlands,Enterprise Services,Referral,M04,Medium
CL0039,2025-10-07,Spain,SMB Tech,Paid Partnerships,M04,Small
CL0040,2025-09-02,Poland,SMB Tech,Referral,M05,Small
CL0041,2025-12-06,Spain,SMB Tech,Paid Partnerships,M01,Small
CL0042,2025-05-05,United States,Recruitment,Outbound,M03,Enterprise
CL0043,2025-05-28,France,Enterprise Services,Organic,M01,Enterprise
CL0044,2025-10-09,Canada,SMB Tech,Paid Partnerships,M03,Small
CL0045,2025-12-02,United Kingdom,SMB Tech,Organic,M06,Large
CL0046,2025-06-25,Estonia,SMB Tech,Outbound,M04,Small
CL0047,2025-08-18,France,SMB Tech,Paid Partnerships,M02,Small
CL0048,2025-09-15,Netherlands,Enterprise Services,Referral,M04,Enterprise
CL0049,2025-12-04,Poland,Recruitment,Outbound,M05,Large
CL0050,2024-12-01,Netherlands,Recruitment,Organic,M03,Enterprise
CL0051,2025-09-29,Germany,SMB Tech,Outbound,M03,Small
CL0052,2025-09-05,United Kingdom,Enterprise Services,Outbound,M03,Large
CL0053,2025-12-12,United States,SMB Tech,Outbound,M03,Medium
CL0054,2025-06-27,GB,SMB Tech,Referral,M06,Medium
CL0055,2025-09-16,United States,Enterprise Services,Paid Partnerships,M01,Medium
CL0056,2025-06-03,Spain,SMB Tech,Organic,M06,Medium
CL0057,2025-12-16,France,Enterprise Services,Paid Partnerships,M05,Small
CL0058,2025-11-09,Netherlands,Recruitment,,M01,Medium
CL0059,2025-10-07,United Kingdom,Recruitment,Referral,M06,Small
CL0060,2025-05-12,United Kingdom,SMB Tech,,M05,Small
CL0061,2025-06-27,United States,Enterprise Services,Organic,M03,Large
CL0062,2025-05-23,UK,Enterprise Services,Outbound,M06,Large
CL0063,2024-12-12,Singapore,SMB Tech,Organic,M03,Medium
CL0064,2025-06-20,Netherlands,Enterprise Services,Outbound,M06,Large
CL0065,2024-08-23,France,Enterprise Services,Organic,M02,Medium
CL0066,2025-11-12,Singapore,SMB Tech,Organic,M01,Small
CL0067,2025-07-06,UK,Enterprise Services,Organic,M04,Enterprise
CL0068,2025-03-02,Singapore,SMB Tech,Organic,M02,Small
CL0069,2025-07-05,USA,Enterprise Services,Organic,M02,Small
CL0070,2025-07-30,United Kingdom,Recruitment,Organic,M03,Large
CL0071,2025-06-28,Poland,SMB Tech,Referral,M01,Small
CL0072,2025-03-15,UK,Enterprise Services,Organic,M03,Medium
CL0073,2025-01-06,Canada,SMB Tech,Outbound,M04,Medium
CL0074,2025-07-06,United States,Enterprise Services,Organic,M03,Large
CL0075,2025-11-09,Netherlands,SMB Tech,Outbound,M05,Large
CL0076,2025-12-04,Germany,Recruitment,Organic,M03,Medium
CL0077,2025-10-12,France,SMB Tech,Paid Partnerships,M06,Small
CL0078,2024-10-17,UAE,Gaming Studios,Organic,M02,Small
CL0079,2025-11-03,France,SMB Tech,Paid Partnerships,M06,Small
CL0080,2024-07-07,Singapore,Enterprise Services,Organic,M01,Medium
CL0081,2024-12-11,United Kingdom,Enterprise Services,Referral,M05,Large
CL0082,2025-06-06,Estonia,SMB Tech,Paid Partnerships,M02,Large
CL0083,2025-12-10,United States,Recruitment,Referral,M04,Enterprise
CL0084,2024-06-29,Poland,SMB Tech,Outbound,M03,Medium
CL0085,2025-06-30,Netherlands,Enterprise Services,Referral,M02,Enterprise
CL0086,2025-07-17,Singapore,SMB Tech,Outbound,M05,Small
CL0087,2024-06-11,United States,SMB Tech,Referral,M01,Medium
CL0088,2025-02-10,Cyprus,SMB Tech,Outbound,M02,Small
CL0089,2024-10-07,Netherlands,Recruitment,Outbound,M02,Large
CL0090,2024-10-23,Cyprus,SMB Tech,Outbound,M02,Large
CL0091,2025-08-12,Germany,SMB Tech,Paid Partnerships,M02,Small
CL0092,2025-12-01,UAE,SMB Tech,Organic,M03,Small
CL0093,2025-12-17,United Kingdom,Recruitment,Referral,M02,Enterprise
CL0094,2025-12-12,Singapore,Recruitment,Organic,M05,Large
CL0095,2024-10-25,Netherlands,Enterprise Services,Referral,M02,Medium
CL0096,2025-01-21,United Kingdom,Enterprise Services,Referral,M06,Enterprise
CL0097,2025-11-22,France,Enterprise Services,Paid Partnerships,M03,Large
CL0098,2025-11-08,Estonia,Recruitment,Outbound,M05,Enterprise
CL0099,2025-02-08,United Kingdom,SMB Tech,Outbound,M05,Medium
CL0100,2025-12-06,Poland,SMB Tech,Paid Partnerships,M01,Small
CL0101,2025-09-28,Germany,SMB Tech,Paid Partnerships,M01,Small
CL0102,2024-12-14,France,SMB Tech,Organic,M05,Medium
CL0103,2025-06-21,United States,SMB Tech,Referral,M02,Small
CL0104,2024-11-06,United States,SMB Tech,Organic,M02,Large
CL0105,2025-02-28,France,Enterprise Services,Organic,M02,Large
CL0106,2025-08-14,Germany,Recruitment,Referral,M03,Large
CL0107,2024-11-04,Singapore,Enterprise Services,Referral,M03,Enterprise
CL0108,2025-09-23,United States,SMB Tech,Outbound,M06,Medium
CL0109,2024-10-04,Netherlands,SMB Tech,Outbound,M01,Medium
CL0110,2025-11-28,Singapore,SMB Tech,Paid Partnerships,M01,Medium
CL0111,2025-08-26,Netherlands,SMB Tech,Paid Partnerships,M04,Medium
CL0112,2025-05-28,Germany,Recruitment,Organic,M03,Medium
CL0113,2024-10-26,UAE,SMB Tech,Outbound,M04,Small
CL0114,2024-09-01,Germany,SMB Tech,Outbound,M05,Small
CL0115,2025-01-15,Canada,SMB Tech,Organic,M01,Large
CL0116,2025-12-07,Germany,SMB Tech,Organic,M02,Small
CL0117,2024-12-23,UAE,Enterprise Services,Organic,M01,Enterprise
CL0118,2025-11-24,Spain,Enterprise Services,Referral,M03,Medium
CL0119,2025-07-02,Germany,Enterprise Services,Organic,M05,Large
CL0120,2024-04-04,France,Gaming Studios,Paid Partnerships,M04,Small
CL0121,2024-03-15,Cyprus,SMB Tech,Organic,M04,Small
CL0122,2025-05-03,United Kingdom,Recruitment,Organic,M02,Large
CL0123,2024-08-03,United States,SMB Tech,Organic,M03,Medium
CL0124,2025-11-03,UAE,Recruitment,Referral,M04,Large
CL0125,2025-01-05,UAE,Recruitment,Organic,M04,Enterprise
CL0126,2025-10-14,UAE,Enterprise Services,Organic,M04,Enterprise
CL0127,2024-08-10,Germany,SMB Tech,Referral,M03,Small
CL0128,2024-05-01,Poland,SMB Tech,Organic,M02,Small
CL0129,2024-09-15,France,SMB Tech,Outbound,M03,Small
CL0130,2025-08-14,Germany,SMB Tech,Organic,M06,Small
CL0131,2025-12-10,UAE,SMB Tech,Outbound,M02,Large
CL0132,2025-07-20,United States,SMB Tech,Paid Partnerships,M04,Small
CL0133,2025-07-08,Singapore,Enterprise Services,Referral,M03,Enterprise
