date,currency,usd_rate
2025-01-01,USD,1.0
2025-01-02,USD,1.0
2025-01-03,USD,1.0
2025-01-06,USD,1.0
2025-01-07,USD,1.0
2025-01-08,USD,1.0
2025-01-09,USD,1.0
2025-01-10,USD,1.0
2025-01-13,USD,1.0
2025-01-14,USD,1.0
2025-01-15,USD,1.0
2025-01-16,USD,1.0
2025-01-17,USD,1.0
2025-01-20,USD,1.0
2025-01-21,USD,1.0
2025-01-22,USD,1.0
2025-01-23,USD,1.0
2025-01-24,USD,1.0
2025-01-27,USD,1.0
2025-01-28,USD,1.0
2025-01-29,USD,1.0
2025-01-30,USD,1.0
2025-01-31,USD,1.0
2025-02-03,USD,1.0
2025-02-04,USD,1.0
2025-02-05,USD,1.0
2025-02-06,USD,1.0
2025-02-07,USD,1.0
2025-02-10,USD,1.0
2025-02-11,USD,1.0
2025-02-12,USD,1.0
2025-02-13,USD,1.0
2025-02-14,USD,1.0
2025-02-17,USD,1.0
2025-02-18,USD,1.0
2025-02-19,USD,1.0
2025-02-20,USD,1.0
2025-02-21,USD,1.0
2025-02-24,USD,1.0
2025-02-25,USD,1.0
2025-02-26,USD,1.0
2025-02-27,USD,1.0
2025-02-28,USD,1.0
2025-03-03,USD,1.0
2025-03-04,USD,1.0
2025-03-05,USD,1.0
2025-03-06,USD,1.0
2025-03-07,USD,1.0
2025-03-10,USD,1.0
2025-03-11,USD,1.0
2025-03-12,USD,1.0
2025-03-13,USD,1.0
2025-03-14,USD,1.0
2025-03-17,USD,1.0
2025-03-18,USD,1.0
2025-03-19,USD,1.0
2025-03-20,USD,1.0
2025-03-21,USD,1.0
2025-03-24,USD,1.0
2025-03-25,USD,1.0
2025-03-26,USD,1.0
2025-03-27,USD,1.0
2025-03-28,USD,1.0
2025-03-31,USD,1.0
2025-04-01,USD,1.0
2025-04-02,USD,1.0
2025-04-03,USD,1.0
2025-04-04,USD,1.0
2025-04-07,USD,1.0
2025-04-08,USD,1.0
2025-04-09,USD,1.0
2025-04-10,USD,1.0
2025-04-11,USD,1.0
2025-04-14,USD,1.0
2025-04-15,USD,1.0
2025-04-16,USD,1.0
2025-04-17,USD,1.0
2025-04-18,USD,1.0
2025-04-21,USD,1.0
2025-04-22,USD,1.0
2025-04-23,USD,1.0
2025-04-24,USD,1.0
2025-04-25,USD,1.0
2025-04-28,USD,1.0
2025-04-29,USD,1.0
2025-04-30,USD,1.0
2025-05-01,USD,1.0
2025-05-02,USD,1.0
2025-05-05,USD,1.0
2025-05-06,USD,1.0
2025-05-07,USD,1.0
2025-05-08,USD,1.0
2025-05-09,USD,1.0
2025-05-12,USD,1.0
2025-05-13,USD,1.0
2025-05-14,USD,1.0
2025-05-15,USD,1.0
2025-05-16,USD,1.0
2025-05-19,USD,1.0
2025-05-20,USD,1.0
2025-05-21,USD,1.0
2025-05-22,USD,1.0
2025-05-23,USD,1.0
2025-05-26,USD,1.0
2025-05-27,USD,1.0
2025-05-28,USD,1.0
2025-05-29,USD,1.0
2025-05-30,USD,1.0
2025-06-02,USD,1.0
2025-06-03,USD,1.0
2025-06-04,USD,1.0
2025-06-05,USD,1.0
2025-06-06,USD,1.0
2025-06-09,USD,1.0
2025-06-10,USD,1.0
2025-06-11,USD,1.0
2025-06-12,USD,1.0
2025-06-13,USD,1.0
2025-06-16,USD,1.0
2025-06-17,USD,1.0
2025-06-18,USD,1.0
2025-06-19,USD,1.0
2025-06-20,USD,1.0
2025-06-23,USD,1.0
2025-06-24,USD,1.0
2025-06-25,USD,1.0
2025-06-26,USD,1.0
2025-06-27,USD,1.0
2025-06-30,USD,1.0
2025-07-01,USD,1.0
2025-07-02,USD,1.0
2025-07-03,USD,1.0
2025-07-04,USD,1.0
2025-07-07,USD,1.0
2025-07-08,USD,1.0
2025-07-09,USD,1.0
2025-07-10,USD,1.0
2025-07-11,USD,1.0
2025-07-14,USD,1.0
2025-07-15,USD,1.0
2025-07-16,USD,1.0
2025-07-17,USD,1.0
2025-07-18,USD,1.0
2025-07-21,USD,1.0
2025-07-22,USD,1.0
2025-07-23,USD,1.0
2025-07-24,USD,1.0
2025-07-25,USD,1.0
2025-07-28,USD,1.0
2025-07-29,USD,1.0
2025-07-30,USD,1.0
2025-07-31,USD,1.0
2025-08-01,USD,1.0
2025-08-04,USD,1.0
2025-08-05,USD,1.0
2025-08-06,USD,1.0
2025-08-07,USD,1.0
2025-08-08,USD,1.0
2025-08-11,USD,1.0
2025-08-12,USD,1.0
2025-08-13,USD,1.0
2025-08-14,USD,1.0
2025-08-15,USD,1.0
2025-08-18,USD,1.0
2025-08-19,USD,1.0
2025-08-20,USD,1.0
2025-08-21,USD,1.0
2025-08-22,USD,1.0
2025-08-25,USD,1.0
2025-08-26,USD,1.0
2025-08-27,USD,1.0
2025-08-28,USD,1.0
2025-08-29,USD,1.0
2025-09-01,USD,1.0
2025-09-02,USD,1.0
2025-09-03,USD,1.0
2025-09-04,USD,1.0
2025-09-05,USD,1.0
2025-09-08,USD,1.0
2025-09-09,USD,1.0
2025-09-10,USD,1.0
2025-09-11,USD,1.0
2025-09-12,USD,1.0
2025-09-15,USD,1.0
2025-09-16,USD,1.0
2025-09-17,USD,1.0
2025-09-18,USD,1.0
2025-09-19,USD,1.0
2025-09-22,USD,1.0
2025-09-23,USD,1.0
2025-09-24,USD,1.0
2025-09-25,USD,1.0
2025-09-26,USD,1.0
2025-09-29,USD,1.0
2025-09-30,USD,1.0
2025-10-01,USD,1.0
2025-10-02,USD,1.0
2025-10-03,USD,1.0
2025-10-06,USD,1.0
2025-10-07,USD,1.0
2025-10-08,USD,1.0
2025-10-09,USD,1.0
2025-10-10,USD,1.0
2025-10-13,USD,1.0
2025-10-14,USD,1.0
2025-10-15,USD,1.0
2025-10-16,USD,1.0
