transaction_id,client_id,created_at,completed_at,payout_country,currency,amount,status,client_fee,direct_cost,failure_reason
TX00000001,CL0358,2025-01-01 00:46:16,2025-01-01 22:00:49,UAE,AED,369.43,completed,21.5,16.19,
TX00000002,CL0104,2025-01-01 01:41:34,2025-01-01 16:53:47,UAE,AED,1924.52,completed,112.84,30.51,
TX00000003,CL0416,2025-01-01 01:55:41,2025-01-01 17:31:44,Poland,PLN,3377.35,completed,64.77,41.79,
TX00000004,CL0432,2025-01-01 02:03:12,2025-01-01 02:42:00,United States,USD,221.85,completed,12.51,4.42,
TX00000005,CL0179,2025-01-01 02:04:39,2025-01-01 07:30:21,Canada,CAD,69.35,completed,3.86,6.28,
TX00000006,CL0311,2025-01-01 02:28:24,2025-01-01 20:13:28,United States,USD,969.96,completed,40.67,8.22,
TX00000007,CL0121,2025-01-01 02:49:51,2025-01-01 23:00:08,Poland,PLN,936.11,completed,53.2,20.68,
TX00000008,CL0090,2025-01-01 03:13:55,2025-01-01 18:20:40,Singapore,SGD,104.41,completed,6.61,5.02,
TX00000009,CL0109,2025-01-01 03:17:35,2025-01-01 18:27:55,UAE,AED,660.8,completed,39.31,16.28,
TX00000010,CL0090,2025-01-01 03:20:40,2025-01-01 20:25:25,Singapore,SGD,173.31,completed,10.72,6.44,
TX00000011,CL0104,2025-01-01 05:17:47,2025-01-01 18:20:38,UAE,AED,1018.14,completed,59.8,19.45,
TX00000012,CL0288,2025-01-01 05:51:09,2025-01-02 05:18:34,UAE,AED,569.24,completed,36.18,16.41,
TX00000013,CL0248,2025-01-01 06:26:35,2025-01-01 11:59:43,United States,USD,293.74,completed,15.97,5.3,
TX00000014,CL0050,2025-01-01 06:42:44,2025-01-02 08:09:28,United States,USD,7268.4,completed,173.37,33.79,
TX00000015,CL0227,2025-01-01 08:07:02,2025-01-01 12:22:24,Spain,EUR,144.54,completed,8.83,3.5,
TX00000016,CL0016,2025-01-01 08:09:15,2025-01-02 00:49:03,United Kingdom,GBP,183.37,completed,11.12,4.05,
TX00000017,CL0306,2025-01-01 08:26:03,,Estonia,EUR,153.3,failed,0.0,1.09,Insufficient funds
TX00000018,CL0425,2025-01-01 08:27:01,2025-01-02 19:10:56,UAE,AED,270.11,completed,13.51,14.43,
TX00000019,CL0113,2025-01-01 08:27:58,2025-01-01 15:16:07,Canada,CAD,101.2,completed,6.19,6.2,
TX00000020,CL0227,2025-01-01 08:30:22,2025-01-01 10:16:15,France,EUR,129.46,completed,7.89,4.45,
TX00000021,CL0179,2025-01-01 08:31:26,2025-01-01 11:04:56,United States,USD,84.81,completed,4.87,3.68,
TX00000022,CL0109,2025-01-01 08:32:35,2025-01-02 03:33:20,UAE,AED,1033.02,completed,61.28,22.67,
TX00000023,CL0358,2025-01-01 08:34:26,2025-01-01 13:12:35,United States,USD,117.3,completed,7.19,4.07,
TX00000024,CL0113,2025-01-01 08:35:28,2025-01-01 11:21:58,Canada,CAD,86.13,completed,5.43,5.83,
TX00000025,CL0459,2025-01-01 08:35:32,2025-01-02 00:51:52,United States,USD,2796.29,completed,69.62,14.76,
TX00000026,CL0147,2025-01-01 08:40:03,2025-01-01 16:03:53,France,EUR,2812.82,completed,51.49,18.6,
TX00000027,CL0104,2025-01-01 08:43:55,2025-01-01 20:57:51,UAE,AED,525.0,completed,29.59,16.76,
TX00000028,CL0179,2025-01-01 08:47:46,2025-01-01 16:00:14,Canada,CAD,300.8,completed,17.3,7.54,
TX00000029,CL0459,2025-01-01 08:55:01,2025-01-01 21:53:49,United States,USD,3130.73,completed,74.35,15.69,
TX00000030,CL0192,2025-01-01 08:56:44,2025-01-01 10:01:13,Germany,EUR,132.81,completed,7.44,3.75,
TX00000031,CL0179,2025-01-01 08:57:05,2025-01-03 20:57:05,United States,USD,274.5,completed,16.05,4.86,
TX00000032,CL0090,2025-01-01 08:58:30,2025-01-01 17:55:33,Singapore,SGD,355.08,completed,22.26,7.14,
TX00000033,CL0227,2025-01-01 09:08:59,2025-01-01 21:37:29,Spain,EUR,69.47,completed,4.46,3.15,
TX00000034,CL0312,2025-01-01 09:10:13,2025-01-01 10:02:16,Netherlands,EUR,244.96,completed,14.46,5.08,
TX00000035,CL0027,2025-01-01 09:11:10,2025-01-02 15:35:58,Cyprus,EUR,297.78,completed,18.17,4.63,
TX00000036,CL0385,2025-01-01 09:12:51,2025-01-01 23:32:24,Netherlands,EUR,322.07,completed,10.84,5.56,
TX00000037,CL0358,2025-01-01 09:12:54,2025-01-01 23:16:05,UAE,AED,681.34,completed,40.22,18.35,
TX00000038,CL0325,2025-01-01 09:13:49,2025-01-01 14:51:40,France,EUR,40.5,completed,2.52,3.61,
TX00000039,CL0323,2025-01-01 09:14:57,,United States,USD,83.5,failed,0.0,0.0,Bank rejected
TX00000040,CL0179,2025-01-01 09:15:17,2025-01-01 10:11:51,United States,USD,191.09,completed,11.12,3.72,
TX00000041,CL0358,2025-01-01 09:17:54,2025-01-02 11:10:40,UAE,AED,282.37,completed,17.96,17.64,
TX00000042,CL0016,2025-01-01 09:22:20,2025-01-01 21:26:29,Spain,EUR,570.91,completed,33.04,6.45,
TX00000043,CL0127,2025-01-01 09:22:30,2025-01-02 17:13:59,United States,USD,98.48,completed,6.06,4.22,
TX00000044,CL0351,2025-01-01 09:34:10,2025-01-01 11:48:22,United States,USD,2071.56,completed,63.46,13.85,
TX00000045,CL0444,2025-01-01 09:34:18,2025-01-01 22:04:40,Singapore,SGD,208.35,completed,12.41,5.95,
TX00000046,CL0104,2025-01-01 09:43:58,2025-01-01 20:28:35,UAE,AED,1114.91,completed,65.56,26.14,
TX00000047,CL0016,2025-01-01 09:48:04,2025-01-01 10:42:09,United Kingdom,GBP,181.25,completed,10.44,4.11,
TX00000048,CL0090,2025-01-01 09:49:01,2025-01-02 10:08:02,Singapore,SGD,596.27,completed,34.77,9.75,
TX00000049,CL0104,2025-01-01 09:55:34,2025-01-01 22:07:20,UAE,AED,1133.04,completed,63.57,24.83,
TX00000050,CL0358,2025-01-01 09:59:37,2025-01-01 15:29:02,United States,USD,275.62,completed,16.23,4.83,
TX00000051,CL0432,2025-01-01 10:00:43,2025-01-02 04:34:01,Poland,PLN,886.0,completed,47.23,22.21,
TX00000052,CL0016,2025-01-01 10:07:00,,United Kingdom,GBP,197.7,failed,0.0,0.0,Invalid beneficiary details
TX00000053,CL0090,2025-01-01 10:07:21,2025-01-01 19:10:51,Singapore,SGD,139.66,completed,8.08,5.51,
TX00000054,CL0109,2025-01-01 10:09:22,2025-01-02 00:39:20,UAE,AED,657.02,completed,39.24,18.72,
TX00000055,CL0104,2025-01-01 10:09:53,2025-01-02 03:32:41,UAE,AED,1006.93,completed,59.83,23.03,
TX00000056,CL0444,2025-01-01 10:10:09,2025-01-02 01:01:10,Singapore,SGD,202.2,completed,11.9,6.56,
